Cut,Group,Events Passing,Absolute [%],Relative [%],Description
No cuts,N/A,9924,100.0,100.0,No selection applied
is_reco_electron,,6824,68.76259572752922,68.76259572752922,Tracks are assumed to be electrons (trk)
has_downstream,,4563,45.979443772672305,66.86694021101994,Downstream tracks (p_z > 0 through tracker)
has_trk_front_seg,,4514,45.4856912535268,98.92614507999123,Track has >=1 segment intersecting TT_Front
good_trkpid,,1812,18.25876662636034,40.14178112538768,Track PID > 0.638
good_trkqual,,1491,15.024183796856105,82.28476821192054,Track quality  > 0.2
within_t0err,,1490,15.014107214832729,99.93293091884641,t0err < 0.9
has_hits,,1458,14.691656590084643,97.8523489932886,Minimum of 20 active hits in the tracker
has_st,,450,4.534461910519952,30.864197530864196,has Nst > 0
no_opa,,443,4.4639258363563075,98.44444444444444,has N_opa == 0
no_crv_quality,,432,4.353083434099154,97.51693002257336,"No high-quality CRV coincidence (PEs>25, nHits>=15, span<175ns)"
no_crv_timewindow,,432,4.353083434099154,100.0,No CRV coincidence with start>429 and end<1700 within dt threshold
no_crv_veto,,430,4.3329302700523975,99.53703703703704,No crv-trk veto: |dt| >= 150 ns
pz_over_pt,,407,4.1011688835147115,94.65116279069767,Track-level cut: 0.5 < pz/pt < 1.0 (pt = transverse mag)
